Reel ID,Comments,Likes,Reach,Saved,Shares,Total Interactions
18098767388528504,2,67,2036,5,2,2854
18005093162992764,0,37,2896,2,3,4342
18124144819825168,0,3,373,0,2,461
18097071713614405,0,5,118,0,0,205
18123848344695503,0,9,276,0,0,397
18168193999454962,0,15,404,0,6,611
17994282737801537,0,13,237,0,0,406
18135487336579236,0,1,99,0,0,112
18097328357362809,7,25,591,1,10,940
18349105066170302,0,5,162,0,0,207
