Profile ID,Media ID,Engagement,Reach,Saved
17841443997027489,18112148134804736,3,40,98
17841443997027489,18093457550524564,3,66,266
17841443997027489,18352863685214816,41,2504,4613
17841443997027489,18001749893855144,15,191,373
17841443997027489,18056616506301253,16,326,1154
17841443997027489,18068173586468167,31,776,3317
17841443997027489,18060974693725735,3,56,127
17841443997027489,18092106122601416,6,56,166
17841443997027489,17882779875473957,33,484,1086
17841443997027489,18328677484246266,3,102,314
17841443997027489,17849515134535402,4,93,997
17841443997027489,18008738441941619,2,55,176
17841443997027489,18156770101466853,3,51,117
17841443997027489,17906331660394899,9,133,292
17841443997027489,18058025006321646,8,89,192
17841443997027489,18083470600945776,1,112,877
17841443997027489,17974038939076686,6,64,160
17841443997027489,17956356780150446,4,64,114
17841443997027489,18073889864355333,175,4754,9258
17841443997027489,18098606788687449,5,142,240
17841443997027489,18088593175903952,8,140,863
17841443997027489,18623678053010757,4,54,126
17841443997027489,17964474798134751,3,57,148
17841443997027489,17854297053676888,7,79,196
17841443997027489,18003554249904636,86,2319,4723
17841443997027489,18556612570018808,3,85,294
17841443997027489,18073993969893595,5,120,1040
17841443997027489,18101132164901824,7,66,206
17841443997027489,17891898621536662,7,41,130
17841443997027489,18118608496645350,16,151,362
17841443997027489,18089715754806946,6,116,240
17841443997027489,18148431985424611,5,144,874
17841443997027489,17964475944130455,13,86,212
17841443997027489,18106814080960264,4,50,163
17841443997027489,17942634072193365,85,579,1466
17841443997027489,18082894934270825,6,154,254
17841443997027489,18369244279157176,24,420,1778
17841443997027489,18006856430975001,3,54,136
17841443997027489,18080378096241194,3,51,98
17841443997027489,17911841880204904,20,124,374
17841443997027489,18055956443414873,4,150,272
17841443997027489,18056912975298633,5,106,687
17841443997027489,17905893855237738,5,129,1253
17841443997027489,18095313179023388,5,52,128
17841443997027489,18054835892726562,5,51,115
17841443997027489,18075737102550518,18,185,421
17841443997027489,18027625802586443,4,84,273
17841443997027489,17891882802345567,26,601,31522
17841443997027489,17903487246503120,7,56,115
17841443997027489,18132109189611517,1,50,166
17841443997027489,17863327662626145,17,326,552
17841443997027489,18045526466509728,5,160,324
17841443997027489,18101241586730718,7,156,778
17841443997027489,18137319892591856,3,59,156
17841443997027489,18537853729079831,3,69,189
17841443997027489,17864240907630093,7,96,209
17841443997027489,18332289019169737,13,219,436
17841443997027489,18088398058811758,3,66,295
17841443997027489,18153625846388283,27,651,2915
17841443997027489,18421969078181463,3,120,201
17841443997027489,17967620945920965,9,55,134
17841443997027489,18362678740204885,9,365,708
17841443997027489,18322715161173266,5,93,342
17841443997027489,18138971191436733,5,105,948
17841443997027489,18140845501490104,3,65,146
17841443997027489,17972245845113477,3,33,84
17841443997027489,18000968093920519,87,2851,5541
17841443997027489,17991622415873352,5,141,225
17841443997027489,17929677732000051,5,111,880
17841443997027489,18340026412255034,2,32,78
17841443997027489,17925864852148190,3,70,214
17841443997027489,18165416107439843,3,60,130
17841443997027489,18008665913837423,13,372,768
17841443997027489,18017112008795876,2,83,257
17841443997027489,18101681125610402,5,118,1080
17841443997027489,18483661651103924,3,52,133
17841443997027489,17957435940131939,6,88,160
17841443997027489,18079538327628984,149,2231,5975
17841443997027489,18091425254503248,4,107,301
17841443997027489,17989477127849497,6,112,967
17841443997027489,18015994469858014,3,60,124
17841443997027489,18063479201707355,9,124,293
17841443997027489,17998437503923694,10,106,249
17841443997027489,18089604847812808,2,110,224
17841443997027489,18098618254644742,5,113,878
