Profile ID,Reel ID,Comments,Likes,Reach,Saved,Shares,Total Interactions
17841443997027489,18124144819825168,0,3,369,0,2,455
17841443997027489,18003680819943215,0,7,78,0,0,117
17841443997027489,17875317750597344,1,24,373,5,1,516
17841443997027489,18063489932297650,0,5,353,0,1,448
17841443997027489,17849955474610891,0,4,218,0,0,309
17841443997027489,18050429249301263,0,5,185,0,0,291
17841443997027489,18051331919045275,0,2,75,0,0,109
17841443997027489,18024329837629220,0,3,105,0,1,159
17841443997027489,18079763392573422,0,4,63,0,0,82
17841443997027489,17907828677962240,1,6,141,0,0,194
17841443997027489,17926658504971766,0,4,81,0,0,121
17841443997027489,18016020512629779,0,6,54,0,0,75
17841443997027489,18042108803030669,1,5,146,0,1,213
17841443997027489,18005093162992764,0,37,2888,2,3,4323
17841443997027489,17915342292199964,0,3,220,0,0,272
17841443997027489,18063975623392749,0,19,291,2,4,408
17841443997027489,17843323122690562,0,8,353,0,2,508
17841443997027489,17949933549064181,0,1,110,0,0,132
17841443997027489,18068099591190269,0,4,132,0,0,191
17841443997027489,17879511357212146,0,2,50,0,0,67
17841443997027489,17952073262763226,0,2,46,0,0,63
17841443997027489,18063477544818282,0,5,69,0,0,103
17841443997027489,18059930548863447,0,8,265,0,2,335
17841443997027489,18124590457392488,0,3,105,0,0,163
17841443997027489,17889636684099730,0,5,110,0,0,149
17841443997027489,18045859846994185,1,6,139,0,0,189
17841443997027489,18097071713614405,0,5,113,0,0,199
17841443997027489,18017102687849294,0,7,142,0,0,197
17841443997027489,18062845934402890,0,11,240,1,0,367
17841443997027489,17983953983955893,0,37,676,1,6,1503
17841443997027489,17974602785804462,0,3,221,0,0,302
17841443997027489,18111982855529992,0,5,175,1,1,252
17841443997027489,18046188050153570,0,2,51,0,0,64
17841443997027489,17877577305213344,0,5,102,0,1,136
17841443997027489,18348106156121227,0,3,128,0,1,187
17841443997027489,18320718577082814,1,3,94,0,0,130
